LINEUP	TM	MIN	PTS	2PTM	2PTA	2PT%	3PTM	3PTA	3PT%	FGM	FGA	FG%	FTM	FTA	FT%	OR	DR	TR	AST	PF	DF	ST	TO	BLK	BLKA	VAL	+ / -
Andrews A., Gudaitis A., Bochoridis E., Kalaitzakis G., Ponitka M.	PAO	9.5	20	5	13	38%	2	5	40%	7	18	39%	4	8	50%	5	10	15	5	4	6	1	3	0	3	22	10
Hezonja M., Cornelie P., Llull S., Rodriguez S., Poirier V.	RMB	3.2	2	1	5	20%	0	3	0%	1	8	13%	0	0	-	1	3	4	1	2	0	2	1	1	0	0	-3
Andrews A., Gudaitis A., Williams D., Bochoridis E., Ponitka M.	PAO	3.1	2	1	4	25%	0	0	-	1	4	25%	0	1	0%	0	1	1	0	1	3	0	1	0	1	-1	-2
Musa D., Yabusele G., Hezonja M., Llull S., Poirier V.	RMB	11.9	19	4	8	50%	3	8	38%	7	16	44%	2	2	100%	2	11	13	4	6	3	1	7	3	0	21	2
Andrews A., Gudaitis A., Williams D., Bochoridis E., Grigonis M.	PAO	2.3	2	0	1	0%	0	2	0%	0	3	0%	2	2	100%	1	1	2	0	0	1	0	1	0	0	1	-4
Musa D., Deck G., Yabusele G., Llull S., Poirier V.	RMB	6	12	5	9	56%	0	3	0%	5	12	42%	2	2	100%	3	3	6	1	6	4	1	2	0	0	9	-7
Andrews A., Gudaitis A., Williams D., Grigonis M., Ponitka M.	PAO	1.6	2	1	2	50%	0	0	-	1	2	50%	0	0	-	0	0	0	0	2	0	0	0	0	0	-1	0
Musa D., Deck G., Yabusele G., Rodriguez S., Poirier V.	RMB	12	27	7	14	50%	2	3	67%	9	17	53%	7	9	78%	3	6	9	5	5	11	5	5	1	0	38	3
Andrews A., Williams D., Papagiannis G., Grigonis M., Ponitka M.	PAO	0.1	0	0	0	-	0	0	-	0	0	-	0	0	-	0	1	1	0	0	1	0	0	0	0	2	-1
Musa D., Deck G., Yabusele G., Rodriguez S., Tavares W.	RMB	21.1	54	12	23	52%	5	9	56%	17	32	53%	15	18	83%	5	21	26	14	12	12	3	8	2	2	71	26
Williams D., Papagiannis G., Grigonis M., Ponitka M., Lee P.	PAO	31.7	68	10	24	42%	11	27	41%	21	51	41%	15	22	68%	11	18	29	15	18	17	9	13	2	2	70	13
Williams D., Bochoridis E., Papagiannis G., Grigonis M., Lee P.	PAO	9	6	2	8	25%	0	5	0%	2	13	15%	2	6	33%	2	5	7	2	2	5	0	2	2	0	3	-13
Causeur F., Deck G., Yabusele G., Llull S., Tavares W.	RMB	18.1	24	8	15	53%	1	11	9%	9	26	35%	5	6	83%	4	7	11	7	6	7	2	6	2	1	22	-21
Andrews A., Williams D., Papagiannis G., Ponitka M., Lee P.	PAO	2.3	3	1	3	33%	0	0	-	1	3	33%	1	2	50%	0	2	2	0	0	1	0	1	0	0	2	-7
Causeur F., Deck G., Hezonja M., Llull S., Tavares W.	RMB	7.7	20	4	5	80%	4	6	67%	8	11	73%	0	0	-	1	6	7	5	5	2	0	4	3	0	25	9
Andrews A., Gudaitis A., Williams D., Ponitka M., Lee P.	PAO	5.3	10	3	5	60%	1	2	50%	4	7	57%	1	1	100%	1	3	4	2	2	5	0	2	0	0	14	-4
Andrews A., Gudaitis A., Williams D., Bochoridis E., Kalaitzakis G.	PAO	0.6	1	0	1	0%	0	0	-	0	1	0%	1	1	100%	0	0	0	0	0	0	1	0	0	1	0	-1
Gudaitis A., Bochoridis E., Kalaitzakis G., Grigonis M., Ponitka M.	PAO	0.5	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	0	0	0	1	0	0	0	0	0	-2	0
Gudaitis A., Williams D., Bochoridis E., Grigonis M., Ponitka M.	PAO	0.2	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	-3
Gudaitis A., Williams D., Grigonis M., Ponitka M., Lee P.	PAO	30.8	57	12	22	55%	7	21	33%	19	43	44%	12	17	71%	4	18	22	13	22	20	5	4	1	0	63	2
Causeur F., Deck G., Hezonja M., Llull S., Poirier V.	RMB	3.7	1	0	0	-	0	2	0%	0	2	0%	1	2	50%	0	3	3	0	4	5	0	5	0	0	-3	-8
Musa D., Deck G., Hezonja M., Llull S., Poirier V.	RMB	10.3	23	4	5	80%	2	9	22%	6	14	43%	9	10	90%	3	9	12	3	7	5	3	5	0	0	25	-1
Musa D., Deck G., Yabusele G., Hezonja M., Tavares W.	RMB	3.8	11	1	1	100%	2	4	50%	3	5	60%	3	4	75%	0	5	5	1	0	1	0	2	0	0	13	-2
Causeur F., Deck G., Yabusele G., Hezonja M., Tavares W.	RMB	0.8	0	0	2	0%	0	0	-	0	2	0%	0	0	-	1	1	2	0	0	0	0	0	0	0	0	-3
Noua A., Lighty D., De Colo N., Obasohan R., Fall Y.	ASV	55.8	107	34	54	63%	9	22	41%	43	76	57%	12	14	86%	7	31	38	21	21	32	9	23	2	2	128	-1
Baron B., Voigtmann J., Pangos K., Hines K., Melli N.	MIL	2.6	2	1	2	50%	0	2	0%	1	4	25%	0	0	-	0	1	1	0	0	0	0	0	0	0	0	-5
Davies B., Hall D., Voigtmann J., Pangos K., Melli N.	MIL	2.4	2	1	2	50%	0	1	0%	1	3	33%	0	0	-	1	1	2	1	1	1	0	1	0	0	2	-2
Davies B., Thomas D., Hall D., Melli N., Tonut S.	MIL	2.3	3	0	1	0%	0	1	0%	0	2	0%	3	4	75%	0	0	0	0	2	2	0	1	0	0	-1	-8
Thomas D., Hall D., Voigtmann J., Melli N., Tonut S.	MIL	1.8	3	0	0	-	1	1	100%	1	1	100%	0	0	-	0	1	1	1	2	2	0	2	0	0	3	1
Noua A., Lighty D., Mathews J., Obasohan R., Fall Y.	ASV	9.2	23	7	16	44%	2	4	50%	9	20	45%	3	4	75%	4	8	12	2	9	4	1	2	0	3	16	7
Noua A., Lighty D., Mathews J., Obasohan R., Pons Y.	ASV	19.4	27	6	18	33%	4	11	36%	10	29	34%	3	3	100%	1	10	11	6	13	6	3	9	1	0	13	-18
Thomas D., Hall D., Voigtmann J., Hines K., Tonut S.	MIL	0.8	0	0	2	0%	0	0	-	0	2	0%	0	0	-	1	2	3	0	0	0	0	1	0	0	0	0
Noua A., Polite A., Mathews J., Obasohan R., Pons Y.	ASV	0.5	2	0	0	-	0	0	-	0	0	-	2	2	100%	0	1	1	0	1	1	0	0	0	0	3	1
Hall D., Voigtmann J., Pangos K., Hines K., Tonut S.	MIL	5.5	8	2	5	40%	0	2	0%	2	7	29%	4	4	100%	1	3	4	0	4	4	2	2	2	0	9	0
Noua A., Polite A., Diot A., Mathews J., Pons Y.	ASV	3.3	6	0	3	0%	2	2	100%	2	5	40%	0	0	-	0	1	1	1	2	1	2	0	0	1	5	-2
Baron B., Hall D., Voigtmann J., Hines K., Tonut S.	MIL	6.7	10	3	7	43%	1	4	25%	4	11	36%	1	1	100%	3	7	10	2	1	2	2	3	0	3	12	-1
Noua A., Polite A., Mathews J., De Colo N., Pons Y.	ASV	0.3	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0
Baron B., Voigtmann J., Pangos K., Melli N., Tonut S.	MIL	4.7	13	2	3	67%	3	5	60%	5	8	63%	0	1	0%	1	1	2	2	5	2	1	1	0	1	9	1
Baron B., Davies B., Pangos K., Melli N., Tonut S.	MIL	9.5	26	8	11	73%	2	4	50%	10	15	67%	4	5	80%	1	6	7	4	4	5	2	2	1	0	33	7
Noua A., Polite A., Mathews J., De Colo N., Fall Y.	ASV	1.5	0	0	2	0%	0	2	0%	0	4	0%	0	0	-	2	1	3	0	0	0	0	0	0	0	-1	-5
Polite A., Mathews J., De Colo N., Fall Y., Pons Y.	ASV	0.5	0	0	0	-	0	1	0%	0	1	0%	0	0	-	1	0	1	0	0	0	0	1	0	0	-1	-2
Lighty D., Mathews J., De Colo N., Fall Y., Pons Y.	ASV	5.3	9	1	3	33%	2	3	67%	3	6	50%	1	2	50%	1	3	4	2	2	2	0	4	0	1	6	-6
Baron B., Davies B., Hall D., Pangos K., Melli N.	MIL	4.6	11	3	6	50%	1	1	100%	4	7	57%	2	2	100%	1	2	3	4	4	1	1	1	1	0	13	2
Baron B., Hall D., Voigtmann J., Pangos K., Melli N.	MIL	5.2	9	2	5	40%	1	4	25%	3	9	33%	2	2	100%	1	1	2	3	2	2	3	1	0	0	10	3
Baron B., Hall D., Voigtmann J., Melli N., Tonut S.	MIL	5.9	15	5	10	50%	1	2	50%	6	12	50%	2	2	100%	1	5	6	6	3	2	2	0	0	0	22	7
Noua A., Lighty D., De Colo N., Obasohan R., Pons Y.	ASV	6.8	22	4	6	67%	3	4	75%	7	10	70%	5	6	83%	1	9	10	3	1	5	1	2	2	0	36	14
Noua A., Lighty D., Mathews J., De Colo N., Pons Y.	ASV	11.6	11	3	11	27%	0	2	0%	3	13	23%	5	5	100%	1	5	6	2	3	4	1	4	1	1	7	-8
Noua A., Lighty D., Mathews J., De Colo N., Fall Y.	ASV	24.6	72	19	27	70%	11	20	55%	30	47	64%	1	2	50%	8	11	19	19	13	12	3	2	1	3	90	23
Baron B., Hall D., Voigtmann J., Pangos K., Hines K.	MIL	3.9	7	2	3	67%	1	5	20%	3	8	38%	0	1	0%	3	2	5	2	2	3	0	1	0	1	7	3
Lighty D., De Colo N., Obasohan R., Fall Y., Pons Y.	ASV	0.3	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	1	1	0	1	0	0	-1	0
Hall D., Voigtmann J., Pangos K., Hines K., Melli N.	MIL	2.8	4	2	2	100%	0	2	0%	2	4	50%	0	0	-	0	2	2	2	1	0	1	1	0	0	5	0
Baron B., Ricci G., Pangos K., Hines K., Melli N.	MIL	2.4	0	0	2	0%	0	1	0%	0	3	0%	0	0	-	1	1	2	0	1	0	0	2	0	1	-5	-5
Noua A., Diot A., Lighty D., Mathews J., Pons Y.	ASV	3.7	3	1	3	33%	0	2	0%	1	5	20%	1	1	100%	0	1	1	0	1	3	1	0	1	0	4	-3
Noua A., Diot A., Mathews J., Obasohan R., Pons Y.	ASV	5.4	8	4	4	100%	0	2	0%	4	6	67%	0	0	-	0	3	3	1	4	2	1	4	1	0	6	3
Baron B., Davies B., Ricci G., Pangos K., Hines K.	MIL	0.8	0	0	0	-	0	1	0%	0	1	0%	0	3	0%	0	0	0	0	0	1	1	0	0	0	-2	-3
Baron B., Davies B., Pangos K., Hines K., Tonut S.	MIL	3.2	7	1	2	50%	1	2	50%	2	4	50%	2	2	100%	0	4	4	2	0	2	0	1	1	0	13	3
Diot A., Mathews J., Obasohan R., Fall Y., Pons Y.	ASV	16.2	29	6	15	40%	4	9	44%	10	24	42%	5	6	83%	6	10	16	7	8	5	5	10	0	3	26	0
Mathews J., De Colo N., Obasohan R., Fall Y., Pons Y.	ASV	0.6	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	1	1	0	0	1	0	0	0	0	1	-2
Baron B., Davies B., Hall D., Melli N., Tonut S.	MIL	11.8	16	3	9	33%	2	5	40%	5	14	36%	4	6	67%	1	5	6	3	5	8	3	3	1	1	17	-8
Baron B., Davies B., Hall D., Voigtmann J., Tonut S.	MIL	2.9	2	1	3	33%	0	1	0%	1	4	25%	0	0	-	1	2	3	0	1	1	0	2	0	1	-1	-7
Baron B., Hall D., Hines K., Melli N., Tonut S.	MIL	18.6	40	10	15	67%	6	15	40%	16	30	53%	2	5	40%	6	11	17	8	11	8	3	4	2	0	46	10
Baron B., Pangos K., Hines K., Melli N., Tonut S.	MIL	5.5	5	1	2	50%	1	7	14%	2	9	22%	0	0	-	2	6	8	2	3	2	0	0	0	0	7	1
Baron B., Hall D., Pangos K., Hines K., Melli N.	MIL	6.4	17	2	3	67%	3	5	60%	5	8	63%	4	5	80%	0	6	6	2	1	6	1	3	0	0	24	9
Poythress A., Colson B., Nebo J., Brown L., Baldwin W.	MTA	40.1	95	30	42	71%	8	21	38%	38	63	60%	11	16	69%	12	19	31	21	15	17	9	8	5	0	125	13
Ulanovas E., Brazdeikis I., Evans K., Hayes K., Cavanaugh T.	ZAL	13.8	26	11	17	65%	1	7	14%	12	24	50%	1	2	50%	5	10	15	4	9	6	1	6	4	3	25	-5
Poythress A., Colson B., Hilliard D., Martin J., Brown L.	MTA	3.7	12	0	2	0%	3	3	100%	3	5	60%	3	4	75%	0	1	1	4	2	1	1	0	1	1	14	1
Butkevicius A., Ulanovas E., Evans K., Hayes K., Cavanaugh T.	ZAL	7.9	18	2	7	29%	1	5	20%	3	12	25%	11	13	85%	3	7	10	1	7	8	1	1	0	2	17	5
Poythress A., Hilliard D., Martin J., Brown L., Menco R.	MTA	0.1	2	1	1	100%	0	1	0%	1	2	50%	0	0	-	0	1	1	0	0	1	0	1	0	0	2	-3
Butkevicius A., Ulanovas E., Evans K., Hayes K., Dimsa T.	ZAL	10.1	19	2	5	40%	2	7	29%	4	12	33%	9	11	82%	4	4	8	3	5	7	3	3	1	0	23	7
Butkevicius A., Evans K., Hayes K., Smits R., Dimsa T.	ZAL	5.2	20	5	8	63%	2	4	50%	7	12	58%	4	6	67%	3	5	8	3	3	3	0	1	0	0	23	12
Hilliard D., Martin J., Nebo J., Brown L., Menco R.	MTA	3.9	7	2	3	67%	1	1	100%	3	4	75%	0	0	-	1	2	3	1	1	0	0	2	0	0	7	2
Butkevicius A., Evans K., Birutis L., Smits R., Dimsa T.	ZAL	5.1	8	2	2	100%	0	2	0%	2	4	50%	4	4	100%	1	0	1	2	1	2	0	1	0	0	9	-2
Butkevicius A., Birutis L., Lekavicius L., Smits R., Dimsa T.	ZAL	7.7	20	6	8	75%	2	6	33%	8	14	57%	2	2	100%	2	4	6	2	1	7	1	1	0	0	28	5
Hilliard D., Martin J., Dibartolomeo J., Nebo J., Menco R.	MTA	0.1	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	1	0	0	0	0	0	-1	0
Hilliard D., Martin J., Dibartolomeo J., Nebo J., Baldwin W.	MTA	12.7	25	8	12	67%	2	5	40%	10	17	59%	3	3	100%	2	8	10	5	12	8	1	4	1	0	27	5
Butkevicius A., Lekavicius L., Smits R., Dimsa T., Cavanaugh T.	ZAL	0.9	5	0	0	-	1	1	100%	1	1	100%	2	2	100%	0	1	1	0	0	0	0	1	0	0	5	3
Hilliard D., Martin J., Dibartolomeo J., Brown L., Baldwin W.	MTA	0.8	3	1	1	100%	0	1	0%	1	2	50%	1	4	25%	0	1	1	0	0	2	0	0	0	0	2	3
Butkevicius A., Ulanovas E., Smits R., Dimsa T., Cavanaugh T.	ZAL	0.1	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0
Butkevicius A., Ulanovas E., Lukosiunas K., Dimsa T., Cavanaugh T.	ZAL	0.1	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	-2
Poythress A., Martin J., Dibartolomeo J., Brown L., Baldwin W.	MTA	4.5	8	2	4	50%	1	6	17%	3	10	30%	1	2	50%	3	4	7	3	4	3	1	0	0	1	9	-2
Poythress A., Martin J., Dibartolomeo J., Nebo J., Baldwin W.	MTA	4.6	5	1	2	50%	1	3	33%	2	5	40%	0	2	0%	0	1	1	2	2	3	1	0	1	0	6	-7
Ulanovas E., Lekavicius L., Smits R., Dimsa T., Cavanaugh T.	ZAL	2	4	2	6	33%	0	0	-	2	6	33%	0	0	-	4	2	6	2	1	0	0	1	0	1	5	4
Poythress A., Colson B., Martin J., Dibartolomeo J., Baldwin W.	MTA	4.5	5	0	2	0%	1	4	25%	1	6	17%	2	2	100%	0	4	4	1	2	1	0	3	0	1	0	-1
Ulanovas E., Brazdeikis I., Lekavicius L., Smits R., Cavanaugh T.	ZAL	9.2	21	6	14	43%	3	6	50%	9	20	45%	0	0	-	4	8	12	4	2	2	1	1	1	1	26	7
Poythress A., Colson B., Martin J., Brown L., Baldwin W.	MTA	27	52	16	29	55%	4	16	25%	20	45	44%	8	13	62%	8	16	24	10	15	12	3	9	1	0	48	-17
Ulanovas E., Brazdeikis I., Hayes K., Lekavicius L., Cavanaugh T.	ZAL	6.3	12	3	4	75%	1	1	100%	4	5	80%	3	4	75%	1	2	3	4	6	4	1	2	0	0	14	1
Poythress A., Hollins A., Colson B., Hilliard D., Brown L.	MTA	2.7	8	3	5	60%	0	1	0%	3	6	50%	2	2	100%	1	3	4	2	2	1	0	0	1	1	10	4
Butkevicius A., Brazdeikis I., Evans K., Hayes K., Cavanaugh T.	ZAL	8.8	14	3	5	60%	1	4	25%	4	9	44%	5	5	100%	1	6	7	4	7	7	0	4	1	1	16	2
Butkevicius A., Brazdeikis I., Evans K., Smits R., Cavanaugh T.	ZAL	6.6	16	3	3	100%	3	9	33%	6	12	50%	1	2	50%	3	1	4	4	1	3	3	0	0	0	22	2
Butkevicius A., Brazdeikis I., Lukosiunas K., Evans K., Smits R.	ZAL	1.9	4	1	1	100%	0	2	0%	1	3	33%	2	2	100%	0	1	1	0	0	1	0	0	0	0	4	-4
Hollins A., Colson B., Hilliard D., Nebo J., Brown L.	MTA	1.2	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	0	0	0	0	1	0	0	1	0	1	-2
Butkevicius A., Ulanovas E., Lukosiunas K., Evans K., Smits R.	ZAL	0.2	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	1	0	0	1	0	0	-2	0
Butkevicius A., Ulanovas E., Lukosiunas K., Evans K., Birutis L.	ZAL	3.7	5	1	3	33%	1	1	100%	2	4	50%	0	0	-	1	3	4	1	5	0	0	2	0	1	0	-3
Poythress A., Colson B., Nebo J., Brown L., Menco R.	MTA	0.6	3	0	0	-	0	1	0%	0	1	0%	3	3	100%	0	0	0	1	0	1	1	0	0	0	5	3
Ulanovas E., Lukosiunas K., Evans K., Lekavicius L., Smits R.	ZAL	0.3	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	1	0	0	-1	0
Ulanovas E., Brazdeikis I., Evans K., Hayes K., Smits R.	ZAL	50.2	82	22	43	51%	8	26	31%	30	69	43%	14	15	93%	8	35	43	12	19	26	8	21	8	5	94	-15
Ulanovas E., Brazdeikis I., Evans K., Smits R., Cavanaugh T.	ZAL	29.8	61	15	30	50%	7	24	29%	22	54	41%	10	11	91%	13	19	32	12	19	14	4	7	0	0	64	-6
Ulanovas E., Evans K., Smits R., Dimsa T., Cavanaugh T.	ZAL	3.9	5	0	2	0%	1	4	25%	1	6	17%	2	2	100%	0	1	1	0	1	1	0	1	0	0	0	-5
Poythress A., Nebo J., Brown L., Menco R., Baldwin W.	MTA	7.2	23	8	10	80%	1	2	50%	9	12	75%	4	4	100%	1	2	3	4	3	4	2	2	0	0	28	0
Ulanovas E., Birutis L., Lekavicius L., Smits R., Dimsa T.	ZAL	4	6	3	5	60%	0	0	-	3	5	60%	0	0	-	0	2	2	1	2	2	0	2	1	0	6	-2
Poythress A., Martin J., Dibartolomeo J., Brown L., Menco R.	MTA	1	0	0	1	0%	0	1	0%	0	2	0%	0	0	-	0	0	0	0	3	0	0	0	0	0	-5	-3
Poythress A., Martin J., Dibartolomeo J., Menco R., Baldwin W.	MTA	0.1	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	1	0	0	0	0	0	-1	-2
Butkevicius A., Brazdeikis I., Birutis L., Lekavicius L., Smits R.	ZAL	7.3	14	2	4	50%	3	3	100%	5	7	71%	1	2	50%	1	4	5	3	7	2	1	4	1	0	12	0
Colson B., Martin J., Dibartolomeo J., Nebo J., Baldwin W.	MTA	44.6	105	28	50	56%	12	30	40%	40	80	50%	13	20	65%	21	29	50	15	16	20	7	9	2	1	126	34
Ulanovas E., Brazdeikis I., Birutis L., Lekavicius L., Smits R.	ZAL	25.4	47	14	28	50%	4	11	36%	18	39	46%	7	8	88%	7	12	19	7	13	10	2	7	2	4	41	-3
Colson B., Martin J., Nebo J., Brown L., Baldwin W.	MTA	91.1	173	38	83	46%	19	60	32%	57	143	40%	40	45	89%	29	62	91	31	44	44	16	27	7	5	195	-16
Butkevicius A., Ulanovas E., Evans K., Hayes K., Smits R.	ZAL	28.4	50	11	24	46%	4	12	33%	15	36	42%	16	22	73%	7	22	29	8	10	16	6	13	3	3	59	2
Butkevicius A., Hayes K., Lekavicius L., Smits R., Dimsa T.	ZAL	5.1	12	3	5	60%	1	3	33%	4	8	50%	3	5	60%	2	4	6	1	2	7	2	1	0	0	19	8
Poythress A., Dibartolomeo J., Nebo J., Brown L., Baldwin W.	MTA	2.1	4	2	3	67%	0	1	0%	2	4	50%	0	0	-	0	0	0	1	2	2	0	0	0	0	3	-10
Poythress A., Colson B., Dibartolomeo J., Nebo J., Brown L.	MTA	4	5	2	2	100%	0	0	-	2	2	100%	1	1	100%	0	3	3	1	3	1	1	3	1	0	6	3
Butkevicius A., Ulanovas E., Lekavicius L., Smits R., Dimsa T.	ZAL	7.8	22	5	5	100%	2	4	50%	7	9	78%	6	6	100%	1	6	7	3	1	5	2	2	1	0	35	13
Butkevicius A., Ulanovas E., Evans K., Smits R., Dimsa T.	ZAL	7.1	12	3	8	38%	2	5	40%	5	13	38%	0	0	-	4	2	6	2	4	7	0	3	1	2	11	-11
Poythress A., Colson B., Hilliard D., Nebo J., Brown L.	MTA	1.2	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	1	1	0	0	0	0	0	0	0	0	0
Rubit A., Winston C., Gillespie F., Jaramaz O., Lucic V.	BAY	6.6	8	2	6	33%	0	2	0%	2	8	25%	4	4	100%	3	4	7	2	3	3	0	5	1	1	6	-7
Pierre D., Motley J., Calathes N., Hayes N., Wilbekin S.	FBD	115.9	281	80	130	62%	33	87	38%	113	217	52%	22	33	67%	52	58	110	69	50	56	22	27	3	11	338	71
Rubit A., Walden C., Gillespie F., Jaramaz O., Lucic V.	BAY	0.2	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	1	0	0	0	0	1	-2
Rubit A., Walden C., Hunter O., Lucic V., Sisko Z.	BAY	0.8	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	0	0	0	0	0	0	1	0	0	-2	-3
Edwards C., Pierre D., Motley J., Calathes N., Hayes N.	FBD	32.6	62	21	39	54%	5	13	38%	26	52	50%	5	7	71%	11	18	29	15	15	14	3	9	0	2	69	4
Walden C., Weiler-Babb N., Hunter O., Lucic V., Sisko Z.	BAY	2.8	8	1	2	50%	2	3	67%	3	5	60%	0	0	-	1	2	3	2	1	0	0	0	0	0	10	4
Rubit A., Walden C., Weiler-Babb N., Hunter O., Sisko Z.	BAY	2.7	5	1	1	100%	1	1	100%	2	2	100%	0	0	-	0	0	0	2	4	1	1	2	0	0	3	-1
Edwards C., Pierre D., Calathes N., Hayes N., Jekiri T.	FBD	16.1	31	13	20	65%	1	8	13%	14	28	50%	2	3	67%	2	9	11	9	8	7	3	1	0	0	37	-3
Edwards C., Guduric M., Calathes N., Hayes N., Jekiri T.	FBD	3.4	7	1	3	33%	1	1	100%	2	4	50%	2	2	100%	1	1	2	2	3	2	0	1	0	0	7	-6
Rubit A., Walden C., Weiler-Babb N., Jaramaz O., Hunter O.	BAY	1.4	6	0	0	-	2	2	100%	2	2	100%	0	0	-	0	1	1	2	0	0	0	0	0	0	9	-1
Edwards C., Guduric M., Calathes N., Hayes N., Wilbekin S.	FBD	0.5	0	0	0	-	0	1	0%	0	1	0%	0	2	0%	0	1	1	0	0	2	0	0	0	0	0	0
Edwards C., Guduric M., Hayes N., Wilbekin S., Jekiri T.	FBD	4.3	15	5	6	83%	1	3	33%	6	9	67%	2	2	100%	3	2	5	2	1	3	1	0	0	1	21	11
Obst A., Winston C., Weiler-Babb N., Hunter O., Lucic V.	BAY	1.7	6	2	2	100%	0	1	0%	2	3	67%	2	2	100%	0	0	0	1	0	1	0	0	0	0	7	-4
Obst A., Winston C., Hunter O., Zipser P., Lucic V.	BAY	3.5	4	2	6	33%	0	3	0%	2	9	22%	0	0	-	4	1	5	1	0	0	1	0	0	1	3	-3
Obst A., Winston C., Gillespie F., Zipser P., Lucic V.	BAY	1.9	0	0	2	0%	0	1	0%	0	3	0%	0	0	-	0	0	0	0	1	0	0	0	1	0	-3	-6
Obst A., Gillespie F., Jaramaz O., Zipser P., Lucic V.	BAY	2.8	3	0	3	0%	1	1	100%	1	4	25%	0	0	-	0	1	1	1	2	3	2	1	0	0	4	1
Edwards C., Booker D., Motley J., Guduric M., Wilbekin S.	FBD	10.6	20	4	8	50%	3	7	43%	7	15	47%	3	4	75%	1	10	11	1	8	3	3	4	0	2	15	8
Booker D., Guduric M., Calathes N., Wilbekin S., Jekiri T.	FBD	4	6	0	1	0%	2	4	50%	2	5	40%	0	0	-	1	1	2	2	1	2	0	1	0	0	7	-1
Winston C., Gillespie F., Jaramaz O., Zipser P., Lucic V.	BAY	1.2	3	0	0	-	1	1	100%	1	1	100%	0	0	-	0	2	2	0	1	0	0	0	0	0	4	3
Winston C., Jaramaz O., Hunter O., Zipser P., Lucic V.	BAY	1.6	5	1	1	100%	1	2	50%	2	3	67%	0	0	-	0	0	0	0	2	0	0	0	0	0	2	1
Booker D., Guduric M., Calathes N., Hayes N., Wilbekin S.	FBD	24.5	43	9	14	64%	5	19	26%	14	33	42%	10	11	91%	5	12	17	7	10	9	4	9	1	1	41	3
Obst A., Weiler-Babb N., Hunter O., Zipser P., Lucic V.	BAY	0.2	0	0	0	-	0	1	0%	0	1	0%	0	0	-	1	0	1	0	0	1	1	0	0	0	2	0
